wmo_id;name;lat;lon;alt;country_alpha2;name_rus;name_eng;additional_name
22891;Сосново;60.55;30.31;68;RU;Сосново;Sosnovo;Лесогорский
22892;Выборг;60.71;28.73;10;RU;Выборг;Vyborg;Выборг
22896;Рощино;60.25;29.63;97;RU;Рощино;Roshchino;Рощино
22897;Озерки;60.21;29;4;RU;Озерки;Ozerki;Сурсари/ Гогланд Остров
22907;О.Гогланд;60.08;26.98;5;RU;О.Гогланд;O. Gogland;Токсово
22912;Олонец;60.98;32.98;11;RU;Олонец;Olonec;Олонец
22913;Лодейное Поле;60.71;33.55;21;RU;Лодейное Поле;Lodejnoe pole;Лодейное Поле
22915;Свирица;60.46;32.9;8;RU;Свирица;Svirica;Свирица
22917;Новая Ладога;60.11;32.31;12;RU;Новая Ладога;Novaja ladoga;Новая Ладога
22925;Винницы;60.63;34.78;109;RU;Винницы;Vinnicy;Винницы
22939;Белозерск;60.02;37.75;130;RU;Белозерск;Belozersk;Белозерск
22944;Чарозеро;60.46;38.61;161;RU;Чарозеро;Charozero;Чарозеро
22954;Вожега;60.47;40.18;199;RU;Вожега;Vozega;Вожега
22956;Чушевицы;60.5;41.7;146;RU;Чушевицы;;Чушевицы
22974;Нюксеница;60.4;44.21;133;RU;Нюксеница;Nuksenitsa;Нюксеница
22981;Великий Устюг;60.78;46.26;93;RU;Великий Устюг;Veliky Ustjug;Великий Устюг
22996;Обьячево;60.36;49.65;148;RU;Обьячево;Objachevo;Объячево
23021;Варнек Бухта;69.7;60;20;RU;Варнек Бухта;;Варнек Бухта
23022;Амдерма;69.78;61.65;53;RU;Амдерма;Amderma;Амдерма
23023;Амдерма аэропорт;69.7;61.5;4;RU;Амдерма аэропорт;;Амдерма аэропорт
23024;Мыс Белый Нос;69.6;60.21;6;RU;Мыс Белый Нос;Mys Bely Nos;Мыс Белый
23029;Усть-Кара;69.25;64.51;4;RU;Усть-Кара;Ust-kara;Усть-Кара
